Transaction ID;Date;Customer ID;Gender;Age;Product Category;Quantity;Price per Unit;Total Amount
15;Monday;CUST015;Female;42;Electronics;4;500;150
65;Tuesday;CUST065;Male;51;Electronics;4;500;1000
72;Tuesday;CUST072;Female;20;Electronics;4;500;30
74;Wednesday;CUST074;Female;18;Beauty;4;500;500
89;Sunday;CUST089;Female;55;Electronics;4;500;100
93;Friday;CUST093;Female;35;Beauty;4;500;30
109;Wednesday;CUST109;Female;34;Electronics;4;500;50
118;Tuesday;CUST118;Female;30;Electronics;4;500;100
124;Friday;CUST124;Male;33;Clothing;4;500;600
139;Friday;CUST139;Male;36;Beauty;4;500;200
152;Tuesday;CUST152;Male;43;Electronics;4;500;100
155;Wednesday;CUST155;Male;31;Electronics;4;500;75
157;Saturday;CUST157;Male;62;Electronics;4;500;1500
166;Sunday;CUST166;Male;34;Clothing;4;500;120
253;Thursday;CUST253;Female;53;Clothing;4;500;2000
257;Sunday;CUST257;Male;19;Beauty;4;500;1500
269;Wednesday;CUST269;Male;25;Clothing;4;500;100
281;Tuesday;CUST281;Female;29;Beauty;4;500;50
342;Tuesday;CUST342;Female;43;Clothing;4;500;50
412;Saturday;CUST412;Female;19;Electronics;4;500;900
416;Friday;CUST416;Male;53;Electronics;4;500;500
420;Monday;CUST420;Female;22;Clothing;4;500;100
447;Thursday;CUST447;Male;22;Beauty;4;500;120
476;Tuesday;CUST476;Female;27;Clothing;4;500;300
480;Thursday;CUST480;Female;42;Beauty;4;500;50
487;Monday;CUST487;Male;44;Clothing;4;500;1000
503;Wednesday;CUST503;Male;45;Beauty;4;500;50
547;Tuesday;CUST547;Male;63;Clothing;4;500;500
561;Saturday;CUST561;Female;64;Clothing;4;500;30
572;Thursday;CUST572;Male;31;Clothing;4;500;900
577;Monday;CUST577;Male;21;Beauty;4;500;1200
592;Tuesday;CUST592;Female;46;Beauty;4;500;90
595;Thursday;CUST595;Female;18;Clothing;4;500;100
626;Friday;CUST626;Female;26;Clothing;4;500;150
634;Sunday;CUST634;Male;60;Electronics;4;500;900
664;Thursday;CUST664;Female;44;Clothing;4;500;900
700;Saturday;CUST700;Male;36;Electronics;4;500;75
731;Wednesday;CUST731;Male;54;Clothing;4;500;200
735;Wednesday;CUST735;Female;64;Clothing;4;500;120
742;Saturday;CUST742;Female;38;Electronics;4;500;50
743;Monday;CUST743;Female;34;Beauty;4;500;50
773;Sunday;CUST773;Male;25;Electronics;4;500;900
789;Saturday;CUST789;Female;61;Clothing;4;500;300
808;Saturday;CUST808;Male;33;Beauty;4;500;25
832;Monday;CUST832;Male;47;Beauty;4;500;30
875;Sunday;CUST875;Female;51;Electronics;4;500;1200
927;Saturday;CUST927;Male;43;Electronics;4;500;1500
946;Monday;CUST946;Male;62;Electronics;4;500;900
970;Tuesday;CUST970;Male;59;Electronics;4;500;1000
13;Saturday;CUST013;Male;22;Electronics;3;500;75
16;Friday;CUST016;Male;19;Clothing;3;500;75
47;Monday;CUST047;Female;40;Beauty;3;500;300
54;Friday;CUST054;Female;38;Electronics;3;500;100
78;Saturday;CUST078;Female;47;Clothing;3;500;1500
111;Wednesday;CUST111;Female;34;Electronics;3;500;120
112;Saturday;CUST112;Male;37;Clothing;3;500;900
115;Sunday;CUST115;Male;51;Clothing;3;500;30
144;Saturday;CUST144;Female;59;Beauty;3;500;1200
164;Monday;CUST164;Female;47;Beauty;3;500;50
169;Friday;CUST169;Male;18;Beauty;3;500;150
193;Monday;CUST193;Male;35;Beauty;3;500;200
199;Monday;CUST199;Male;45;Beauty;3;500;100
211;Monday;CUST211;Male;42;Beauty;3;500;50
212;Friday;CUST212;Male;21;Clothing;3;500;100
213;Monday;CUST213;Male;27;Beauty;3;500;2000
215;Wednesday;CUST215;Male;58;Clothing;3;500;30
239;Monday;CUST239;Male;38;Electronics;3;500;1200
280;Tuesday;CUST280;Female;37;Clothing;3;500;300
313;Tuesday;CUST313;Female;55;Beauty;3;500;75
356;Saturday;CUST356;Male;50;Electronics;3;500;300
